,predictor,AIC
82,['ageph' 'lat' 'long' 'fuelc' 'coverp' 'powerc'],38858.43956136573
83,['ageph' 'lat' 'long' 'split' 'fleetc' 'sportc'],38788.20338868685
84,['ageph' 'lat' 'long' 'split' 'fleetc' 'coverp'],38763.0576620777
85,['ageph' 'lat' 'long' 'split' 'fleetc' 'powerc'],38786.95415768526
86,['ageph' 'lat' 'long' 'split' 'sportc' 'coverp'],38763.18748187469
87,['ageph' 'lat' 'long' 'split' 'sportc' 'powerc'],38787.20144603757
88,['ageph' 'lat' 'long' 'split' 'coverp' 'powerc'],38759.31368225692
89,['ageph' 'lat' 'long' 'fleetc' 'sportc' 'coverp'],38881.31512789318
90,['ageph' 'lat' 'long' 'fleetc' 'sportc' 'powerc'],38900.783346930024
91,['ageph' 'lat' 'long' 'fleetc' 'coverp' 'powerc'],38877.71212869362
92,['ageph' 'lat' 'long' 'sportc' 'coverp' 'powerc'],38878.11006930234
93,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split'],38759.35289951231
94,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc'],38870.97369689326
95,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'sportc'],38873.54815653059
96,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'coverp'],38853.46032903485
97,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'powerc'],38865.98170728071
98,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc'],38776.93609263409
99,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'sportc'],38777.78212441035
100,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'coverp'],38754.04619686968
101,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'powerc'],38774.599738557874
102,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'sportc'],38889.63447738648
103,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'coverp'],38871.78885453984
104,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'powerc'],38886.02064772858
