,predictor,BIC
84,['ageph' 'lat' 'long' 'usec' 'fuelc' 'powerc'],311375.72165153275
85,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc'],311368.9888826412
86,['ageph' 'lat' 'long' 'usec' 'split' 'sportc'],311266.8563173011
87,['ageph' 'lat' 'long' 'usec' 'split' 'coverp'],311291.38759268256
88,['ageph' 'lat' 'long' 'usec' 'split' 'powerc'],311255.1901760404
89,['ageph' 'lat' 'long' 'usec' 'fleetc' 'sportc'],311376.1737279178
90,['ageph' 'lat' 'long' 'usec' 'fleetc' 'coverp'],311387.902702281
91,['ageph' 'lat' 'long' 'usec' 'fleetc' 'powerc'],311352.1788066563
92,['ageph' 'lat' 'long' 'usec' 'sportc' 'coverp'],311210.66288514837
93,['ageph' 'lat' 'long' 'usec' 'sportc' 'powerc'],311300.231499837
94,['ageph' 'lat' 'long' 'usec' 'coverp' 'powerc'],311343.8860262892
95,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split'],311352.4329895616
96,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc'],311454.7916085435
97,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'sportc'],311356.5167788673
98,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'coverp'],311417.53385776846
99,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'powerc'],311350.5634405109
100,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc'],311319.6489049784
101,['ageph' 'lat' 'long' 'sexp' 'split' 'sportc'],311211.1163104945
102,['ageph' 'lat' 'long' 'sexp' 'split' 'coverp'],311291.52792891767
103,['ageph' 'lat' 'long' 'sexp' 'split' 'powerc'],311220.58889039257
104,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'sportc'],311317.974437303
105,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'coverp'],311383.62314385414
106,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'powerc'],311317.8765572919
107,['ageph' 'lat' 'long' 'sexp' 'sportc' 'coverp'],311203.92222809064
108,['ageph' 'lat' 'long' 'sexp' 'sportc' 'powerc'],311262.2400781995
109,['ageph' 'lat' 'long' 'sexp' 'coverp' 'powerc'],311355.1017662493
110,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc'],311414.61247347126
111,['ageph' 'lat' 'long' 'fuelc' 'split' 'sportc'],311320.5366235604
112,['ageph' 'lat' 'long' 'fuelc' 'split' 'coverp'],311340.3682731796
113,['ageph' 'lat' 'long' 'fuelc' 'split' 'powerc'],311298.34996014286
114,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'sportc'],311430.902749277
115,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'coverp'],311437.53894098866
116,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'powerc'],311398.37557232205
117,['ageph' 'lat' 'long' 'fuelc' 'sportc' 'coverp'],311275.65690980054
118,['ageph' 'lat' 'long' 'fuelc' 'sportc' 'powerc'],311351.16678765486
119,['ageph' 'lat' 'long' 'fuelc' 'coverp' 'powerc'],311400.4764113651
120,['ageph' 'lat' 'long' 'split' 'fleetc' 'sportc'],311287.81419519533
121,['ageph' 'lat' 'long' 'split' 'fleetc' 'coverp'],311315.32866802934
122,['ageph' 'lat' 'long' 'split' 'fleetc' 'powerc'],311270.9649222013
123,['ageph' 'lat' 'long' 'split' 'sportc' 'coverp'],311131.9456959862
124,['ageph' 'lat' 'long' 'split' 'sportc' 'powerc'],311218.84574715
125,['ageph' 'lat' 'long' 'split' 'coverp' 'powerc'],311276.2758898389
126,['ageph' 'lat' 'long' 'fleetc' 'sportc' 'coverp'],311242.5638200434
127,['ageph' 'lat' 'long' 'fleetc' 'sportc' 'powerc'],311324.14987577725
128,['ageph' 'lat' 'long' 'fleetc' 'coverp' 'powerc'],311371.1457438696
129,['ageph' 'lat' 'long' 'sportc' 'coverp' 'powerc'],311248.56443185144
130,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc'],311409.31985187595
